JD,Mag,Magerr
2455259.888,13.85,0.05
2455259.894,13.8,0.05
2455259.899,13.69,0.05
2455259.905,13.6,0.05
2455271.78,13.27,0.05
2455271.787,13.26,0.05
2455271.795,13.29,0.05
2455271.802,13.28,0.05
2455280.722,13.45,0.05
2455280.729,13.52,0.05
2455280.735,13.65,0.05
2455280.742,13.76,0.05
2455328.757,13.23,0.05
2455328.763,13.26,0.05
2455328.77,13.29,0.05
2455328.776,13.29,0.05
2455341.736,13.31,0.05
2455341.742,13.33,0.05
2455341.747,13.34,0.05
2455341.754,13.42,0.05
2455659.73,13.25,0.05
2455659.735,13.26,0.05
2455659.74,13.26,0.05
2455659.745,13.32,0.05
2455680.775,13.37,0.05
2455680.783,13.46,0.05
2455680.79,13.53,0.05
2455680.798,13.68,0.05
2455618.823,13.35,0.05
2455618.83,13.31,0.05
2455618.838,13.28,0.05
2455618.845,13.26,0.05
2455577.887,13.55,0.05
2455577.895,13.7,0.05
2455577.902,13.81,0.05
2455577.909,13.8,0.05
2455725.694,13.3,0.05
2455725.7,13.26,0.05
2455725.706,13.24,0.05
2455725.712,13.25,0.05
2455625.805,13.49,0.05
2455625.814,13.61,0.05
2455625.823,13.76,0.05
2455625.832,13.85,0.05
2455646.833,13.97,0.05
2455646.839,13.98,0.05
2455646.845,13.85,0.05
2455646.852,13.7,0.05
2455707.744,13.9,0.05
2455707.754,13.69,0.05
2455707.763,13.52,0.05
2455707.772,13.41,0.05
2454883.959,13.55,0.05
2454883.963,13.5,0.05
2454883.966,13.46,0.05
2454883.97,13.42,0.05
2455924.038,13.27,0.05
2455924.043,13.25,0.05
2455924.048,13.25,0.05
2455959.815,13.42,0.05
2455959.822,13.39,0.05
2455959.829,13.35,0.05
2455959.835,13.32,0.05
2455975.938,13.32,0.05
2455975.946,13.36,0.05
2455975.953,13.4,0.05
2455975.96,13.46,0.05
2455982.893,14,0.05
2455982.898,14.01,0.05
2455982.904,13.9,0.05
2455982.91,13.75,0.05
2455988.733,13.29,0.05
2455988.738,13.27,0.05
2455988.743,13.26,0.05
2455988.748,13.28,0.05
2456011.714,13.31,0.05
2456011.719,13.32,0.05
2456011.724,13.31,0.05
2456011.729,13.29,0.05
2456018.809,13.37,0.05
2456018.818,13.45,0.05
2456018.827,13.58,0.05
2456018.835,13.75,0.05
2456036.765,13.67,0.05
2456036.773,13.53,0.05
2456036.779,13.47,0.05
2456036.783,13.43,0.05
2456063.737,13.26,0.05
2456063.744,13.26,0.05
2456063.751,13.27,0.05
2456063.757,13.3,0.05
2456069.694,13.35,0.05
2456069.701,13.4,0.05
2456069.708,13.48,0.05
2456069.715,13.6,0.05
2456096.69,13.48,0.05
2456096.697,13.44,0.05
2456096.705,13.39,0.05
2456096.712,13.34,0.05
2456264.939,13.46,0.05
2456264.944,13.47,0.05
2456264.949,13.56,0.05
2456264.955,13.63,0.05
2456297.881,13.3,0.05
2456297.889,13.31,0.05
2456297.897,13.31,0.05
2456297.905,13.34,0.05
2456310.882,13.35,0.05
2456310.888,13.38,0.05
2456310.894,13.43,0.05
2456310.9,13.53,0.05
2456330.954,13.64,0.05
2456330.96,13.53,0.05
2456330.966,13.45,0.05
2456330.971,13.4,0.05
2456337.801,13.37,0.05
2456337.811,13.43,0.05
2456337.821,13.51,0.05
2456337.831,13.72,0.05
2456342.009,13.33,0.05
2456342.015,13.36,0.05
2456342.021,13.37,0.05
2456342.028,13.41,0.05
2456353.9,13.69,0.05
2456353.906,13.81,0.05
2456353.912,13.94,0.05
2456353.917,13.98,0.05
2456362.919,13.61,0.05
2456362.926,13.77,0.05
2456362.933,13.93,0.05
2456362.94,13.98,0.05
2456370.695,13.84,0.05
2456370.698,13.8,0.05
2456370.701,13.75,0.05
